id,name,url,status,final_url,note
"74","THC + CBN Sleep Gummies","https://www.rarecannabinoidco.com/product/thc-cbn-sleep-gummies/","200","https://www.rarecannabinoidco.com/product/thc-cbn-sleep-gummies/",""
"79","TribeTokes CBD+CBN Sleep Gummies","https://tribetokes.com/product-item/cbd-sleep-gummies/","200","https://tribetokes.com/product-item/cbd-sleep-gummies/",""
"83","Mood Gummies","https://joyorganics.com/products/organic-full-spectrum-gummies-raspberry-lemonade","200","https://joyorganics.com/products/organic-full-spectrum-gummies-raspberry-lemonade",""
"103","Muscle Rub 300mg","https://partneredprocess.com/search?q=Muscle+Rub+300mg&sort_by=relevance","200","https://partneredprocess.com/search?q=Muscle+Rub+300mg&sort_by=relevance",""
"36","Cann Hi-Boy — Blood Orange Cardamom","https://drinkcann.com/products/the-hi-boy","200","https://drinkcann.com/products/the-hi-boy",""
"37","Cann Roadie — Variety Pack","https://drinkcann.com/products/the-roadie","200","https://drinkcann.com/products/the-roadie",""
"38","Wynk Seltzer — Juicy Mango (2.5 mg THC)","https://drinkwynk.com/products/juicy-mango","200","https://drinkwynk.com/products/juicy-mango",""
"42","Cycling Frog THC Seltzer — Tropical Punch (5 mg THC)","https://cyclingfrog.com/products/variety-pack-thc-seltzer","403","https://cyclingfrog.com/products/variety-pack-thc-seltzer",""
"81","CBDfx Lights Out Mid Dose Sugar-Free Gummies","https://cbdx.com/products/lights-out-premium-sugar-free-sleep-gummies","200","https://cbdx.com/products/lights-out-premium-sugar-free-sleep-gummies",""
"97","CBDfx Spaced Out Low Dose Sugar-Free Gummies","https://cbdx.com/products/spaced-out-premium-sugar-free-indica-gummies","200","https://cbdx.com/products/spaced-out-premium-sugar-free-indica-gummies",""
"98","CBDfx Spaced Out Mid Dose Sugar-Free Gummies","https://cbdx.com/products/spaced-out-premium-sugar-free-indica-gummies","200","https://cbdx.com/products/spaced-out-premium-sugar-free-indica-gummies",""
